S.no.,Wave,AGE,NATIONALITY,GENDER,Preferred brand,Love_index,Fav flavor,wide variety,Outdoor seating,new products,VFM,cust service,healthy foods,branches across,drivethru,packaging,delivery,opens 24/7,calm place,Decorof the shopcor ,comfortable seating,app for early order ,variety of milk,saudi company,International brand,consistent,trustworthy,spacious shops,maket leader,recommended brand,quality of beans,customozition,No VAT,Brand Functionality,Innovation ,Uniqueness / Different,Price,Worth,Physical Availability,Mental Availability
X8emACK,4,21,Saudis,Male,Barns,10,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,10,10,10,6,2,7,7
Fw0Q8XT,4,31,Saudis,Female,Half Million,7,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,8,8,8,4,1,7,6
AtLZixX,4,32,Saudis,Female,Half Million,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,4,1,4,4
kupYUY5,4,40,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,10,10,10,0,2,7,7
rEQxdX0,4,38,Saudis,Male,Other 1 from Q018,8,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,7,7,7,6,2,6,6
Ww7Xy9d,4,34,Egyptian,Male,Costa,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,4,1,4,4
tlvwf3d,4,26,Saudis,Male,Mc Cafe,10,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,9,9,10,9,2,6,6
B7gIykL,4,52,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,10,10,10,0,1,6,7
dHWldJS,4,39,Palestinian,Female,Starbucks,7,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,3,7,8,10,9,5,5
ONd4p9T,4,42,Saudis,Male,Dunkin Coffee,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,5,0,1,4,5
6LTW0CJ,4,25,Saudis,Female,Dunkin Coffee,5,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,7,6,5,3,2,4,4
NK7JosG,4,28,Saudis,Female,Kyan,5,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,4,7,5,5,9,4,4
kU5FzY6,4,29,Saudis,Female,Other 1 from Q018,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,6,2,3,4
co7l1Td,4,34,Saudis,Female,Barns,10,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,7,7
7XYuD55,4,44,Syrian,Female,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,7,7,4,10,1,4,5
idU1v7f,4,26,Saudis,Male,Dunkin Coffee,8,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,8,10,9,9,1,5,6
GNBwXSr,4,30,Saudis,Female,Starbucks,6,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,10,9,9,1,1,6,7
0Y94aQH,4,40,Saudis,Male,Starbucks,10,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,10,10,10,9,1,7,7
3vSsC5W,4,32,Saudis,Male,Dunkin Coffee,10,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,10,10,10,7,2,7,7
Slx3uPF,4,29,Saudis,Female,Starbucks,5,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,7,6,5,8,1,4,4
7pOwXFp,4,31,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,5,0,7,7
Hn4Xn7I,4,31,Sudanese,Female,Other 1 from Q018,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9,8,9,3,1,5,4
UrZjz06,4,26,Saudis,Female,Kyan,10,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,10,10,10,8,1,7,7
6nCrVHd,4,32,Saudis,Female,Half Million,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,5,0,3,4
750qVQl,4,32,Saudis,Female,Starbucks,10,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,10,10,4,2,7,7
I2t5ixR,4,23,Saudis,Male,Starbucks,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,6,4,2,7,4
zhZMUQN,4,18,Saudis,Male,Starbucks,10,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,10,10,10,8,0,7,7
XxoNrfs,4,23,Saudis,Male,Half Million,99,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,10,0,10,10,0,7,7
E2EczBc,4,33,Saudis,Male,Half Million,10,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,9,10,3,1,6,4
AevDZ6M,4,34,Saudis,Male,Other from Q017,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,2,4,9,5,5
wIGktnI,4,17,Saudis,Male,Half Million,10,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,9,9,10,0,1,7,6
Glrcwbx,4,36,Saudis,Female,Starbucks,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,10,10,10,10,2,7,7
1VNLIVF,4,21,Palestinian,Female,Starbucks,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,10,3,4,10,1,7,4
jPghmsA,4,28,Saudis,Female,Dunkin Coffee,5,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,4,5,6,7,0,5,4
63Uvip7,4,27,Saudis,Female,Starbucks,10,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,8,10,9,8,1,7,7
ybGvdsp,4,49,Egyptian,Male,Barns,9,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,9,9,9,7,2,7,6
zj8MqOS,4,35,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,0,2,7,7
tlrnDl1,4,28,Saudis,Female,Half Million,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,8,3,1,5,5
ZbkXfZh,4,32,Saudis,Female,Mc Cafe,10,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,9,8,9,8,1,6,6
RwuVPLL,4,35,Indian,Male,Tim Hortons,10,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,10,10,10,3,0,6,7
5GFhe2N,4,31,Saudis,Male,Starbucks,10,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,10,10,9,9,1,5,6
JD0HIhk,4,31,Saudis,Female,Kyan,9,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,8,8,10,0,5,4
krqOKmO,4,37,Saudis,Male,Starbucks,10,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,10,10,10,4,2,7,7
EfFDS6v,4,33,Saudis,Male,Mc Cafe,5,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,8,6,8,10,2,7,6
oOyrwNq,4,41,Saudis,Male,Starbucks,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,9,8,8,0,1,6,5
7ZtHMxC,4,36,Pakistani,Female,Starbucks,9,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,9,6,8,7,2,7,7
jZfMxHN,4,27,Saudis,Male,Starbucks,10,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,10,10,10,5,1,7,7
LdAyC8A,4,37,Pakistani,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,10,10,10,7,0,7,5
7iix3M7,4,27,Saudis,Female,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,8,9,8,6,1,6,7
TA7IVDc,4,31,Saudis,Female,Starbucks,10,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,7,1,5,6
G8cbmWO,4,27,Saudis,Female,Mc Cafe,8,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,8,7,9,6,1,6,6
5HWDAG8,4,40,Philippines,Female,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,10,10,9,6,1,7,7
igGUz5Z,4,25,Indian,Female,Half Million,9,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,8,8,10,10,1,7,7
5Z58iIb,4,41,Saudis,Male,Starbucks,9,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,7,9,8,6,1,7,5
nTarRS4,4,29,Egyptian,Male,Starbucks,8,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,8,8,8,9,2,4,5
k8y9UUP,4,33,Saudis,Female,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,10,10,10,6,1,7,7
rF6BQXb,4,31,Egyptian,Female,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYtKlSL,4,42,Saudis,Female,Java caf,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,10,10,10,5,1,7,4
zln4SY5,4,37,Indian,Female,Dunkin Coffee,8,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,5,5,3,4,0,5,4
UvpRD28,4,40,Pakistani,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,10,10,10,0,2,7,7
mo0AQJG,4,40,Saudis,Male,Barns,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,7,0,7,7
z7fC3HW,4,45,Indian,Female,Starbucks,8,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,8,7,7,10,0,7,7
B8lUftw,4,43,Indian,Male,Starbucks,7,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,8,10,10,3,2,7,7
NGnrBeo,4,34,Saudis,Male,Barns,10,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,10,10,10,7,1,7,7
StipSy4,4,33,Indian,Male,Starbucks,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,8,8,7,6,1,5,5
OJPnHsz,4,21,Saudis,Female,Other from Q017,10,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,6,3,8,8,0,7,1
DitBygN,4,29,Saudis,Male,Other 1 from Q018,9,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,3,4,6,5,0,6,4
W1kjgV6,4,26,Saudis,Male,Dunkin Coffee,10,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,10,10,10,4,2,7,6
A1YHDoc,4,29,Saudis,Female,Dunkin Coffee,9,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,9,4,8,9,0,4,4
Nr7O7Hn,4,23,Saudis,Female,Starbucks,10,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,10,10,10,2,2,7,7
LutB1Oq,4,34,Saudis,Female,Other 1 from Q018,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,7,3,1,2,2
vqAONML,4,46,Saudis,Female,Barns,9,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,7,7,8,6,2,5,4
vD2wJ5B,4,33,Saudis,Male,Starbucks,4,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,5,2,6,10,0,3,4
6gIAM9M,4,28,Saudis,Female,Tim Hortons,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,10,10,10,10,1,7,7
ckquDHb,4,32,Saudis,Male,Dr  Caf,7,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,6,5,3,1,5,4
3fCdKDt,4,39,Saudis,Male,Barns,10,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,10,10,10,8,1,7,7
MrPn3cQ,4,29,Egyptian,Male,Starbucks,10,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,10,10,9,10,0,5,6
Wh53N8D,4,41,Indian,Male,Costa,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,2,7,7
z0dB65f,4,42,Saudis,Male,Half Million,10,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,8,10,9,4,1,4,5
p2KNmdu,4,37,Saudis,Male,Starbucks,8,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,9,10,10,7,1,3,7
vVWoCDv,4,35,Saudis,Female,Mc Cafe,8,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,9,9,9,8,1,7,5
KHXOioU,4,31,Saudis,Male,Starbucks,9,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,10,9,10,9,1,5,5
EPSnEoa,4,25,Saudis,Male,Starbucks,10,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,10,10,10,10,1,7,7
z08I0d3,4,42,Saudis,Female,Starbucks,10,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,10,1,8,8,1,6,6
dQhTkEJ,4,50,Saudis,Male,Barns,10,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,10,10,10,4,1,7,7
t4A2jl7,4,40,Philippines,Male,Dunkin Coffee,5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3,4,4,3,1,4,4
vMs87iU,4,34,Saudis,Male,Coffee Address,10,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,10,8,9,6,1,6,6
6Pyf4Jb,4,30,Egyptian,Male,Tim Hortons,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,10,10,10,8,2,7,7
Akr1KMu,4,21,Saudis,Male,Dunkin Coffee,5,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,5,9,5,2,2,5,5
1mu7BWS,4,38,Saudis,Male,Starbucks,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,1,6,6
2s6jycz,4,31,Saudis,Female,Dunkin Coffee,10,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,9,8,9,9,1,5,7
kdb0XKt,4,34,Saudis,Female,Half Million,8,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,9,9,8,2,1,6,6
fIifREy,4,31,Saudis,Male,Mc Cafe,10,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,4,5,4,2,1,4,4
topheSl,4,36,Egyptian,Male,Starbucks,10,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,1,6,5
PfsKRky,4,37,Saudis,Female,Dr  Caf,10,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,10,10,10,2,1,7,7
HaxWO2z,4,47,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,9,9,5,5,1,6,4
MDhLSxB,4,35,Saudis,Female,Barns,8,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,8,8,8,2,0,5,3
xw6DINH,4,30,Saudis,Male,Ratio,9,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,9,9,9,9,1,6,5
MumOVUM,4,24,Saudis,Female,Starbucks,6,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,5,8,9,8,2,4,7
G66RNfA,4,36,Egyptian,Male,Starbucks,5,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,5,5,5,5,0,4,4
JdEv4cp,4,32,Saudis,Male,Starbucks,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,1,6,6
QVUuF6P,4,30,Saudis,Male,Barns,10,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,10,9,9,5,2,4,5
AQwF4VI,4,42,Egyptian,Male,Starbucks,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,5,5,5,5,1,4,4
bipjI6m,4,28,Saudis,Female,Half Million,9,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,9,6,8,3,1,5,4
p90dnM5,4,38,Saudis,Male,Starbucks,4,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,10,9,9,9,1,6,6
UiOE5F5,4,36,Egyptian,Female,Costa,10,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,8,9,6,4,1,5,4
jvbJ9pD,4,33,Saudis,Male,Dunkin Coffee,10,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,10,10,10,0,2,7,7
V7ZAL5C,4,30,Egyptian,Male,Dr  Caf,3,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3,4,4,4,1,4,4
UaqKqI2,4,27,Saudis,Female,Barns,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,5,6,9,4,0,5,6
sh9cgoB,4,56,Pakistani,Female,Starbucks,10,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,10,9,10,10,2,7,6
4TV3XLk,4,45,Saudis,Male,Dunkin Coffee,10,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,10,10,10,3,1,7,7
CzN0JUD,4,43,Syrian,Female,Starbucks,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,5,5,5,10,0,4,4
tkl8UfL,4,40,Saudis,Female,Mc Cafe,10,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,10,10,10,0,1,7,7
JBYZ2O8,4,30,Saudis,Male,Mc Cafe,9,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,7,7,7,5,2,5,6
Xs8S2lm,4,24,Saudis,Female,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45DUtXK,4,34,Saudis,Male,Mc Cafe,9,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,8,7,5,5,2,5,4
MF6aTm2,4,45,Saudis,Male,Starbucks,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9,9,9,9,2,7,5
e8061eR,4,35,Saudis,Male,Starbucks,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,10,10,2,7,7
HNINLQs,4,36,Saudis,Male,Starbucks,9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,8,2,1,6,7
PgQsioP,4,43,Saudis,Male,Ratio,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,10,10,9,0,5,6
cBgCpPy,4,36,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,6,2,7,6
KXgux7V,4,36,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,9,2,7,7
ZUQ44rG,4,31,Indian,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,2,7,7
sXTAZRd,4,25,Saudis,Female,Starbucks,10,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,10,10,10,7,1,6,7
Vb3eidF,4,36,Syrian,Female,Dunkin Coffee,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,8,9,7,6,1,3,5
K9cO1hh,4,38,Saudis,Male,Gourmet caf,10,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,10,10,10,6,1,3,6
E1mZUsc,4,25,Saudis,Female,Dunkin Coffee,10,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,10,10,10,2,1,7,7
qesUUFm,4,39,Palestinian,Male,Java Time,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,8,6,1,2,1
eJwfIFK,4,20,Saudis,Female,Half Million,9,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,8,10,10,5,1,4,6
mjxlK18,4,26,Saudis,Female,OverDose,10,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,9,10,6,10,1,7,6
WJQiPhL,4,28,Saudis,Female,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,10,8,5,1,6,5
9XYM7dd,4,36,Saudis,Female,Starbucks,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,10,9,9,2,6,6
9TPiTkW,4,42,Philippines,Male,Mc Cafe,10,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,10,10,10,10,2,7,7
75Ntgeu,4,33,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,10,10,10,10,1,6,7
CigiROC,4,31,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,3,2,7,6
6I7Ttcd,4,31,Saudis,Female,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,10,10,5,0,5,4
NrtSS5T,4,31,Saudis,Female,Tim Hortons,9,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,10,10,10,8,1,7,6
rFscSdH,4,47,Egyptian,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,10,10,10,8,2,5,6
v9glPTW,4,54,Palestinian,Male,Tim Hortons,8,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,9,9,9,8,1,5,6
iv8AWeA,4,33,Saudis,Female,Costa,9,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,9,10,7,5,0,5,6
pSZV7u8,4,27,Saudis,Male,Half Million,10,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,9,10,10,10,2,6,7
kmZe4uz,4,43,Saudis,Female,Dunkin Coffee,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,3,5,4,1,5,4
ioKYin8,4,28,Saudis,Female,Barns,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,5,1,7,7
